Pertanyaan;Jawaban
1. Lebih adil mana: tugas yang dikerjakan sepenuhnya manual atau tugas yang memperbolehkan bantuan AI? Jelaskan pendapatmu.;"Tugas yang dikerjakan secara manual dianggap lebih adil karena setiap mahasiswa menunjukkan kemampuan masing-masing tanpa bergantung pada teknologi. Namun, tugas yang memperbolehkan bantuan AI juga bisa dianggap adil jika semua mahasiswa memiliki akses yang sama dan memahami cara menggunakannya dengan bijak. Keadilan dalam penggunaan AI sangat bergantung pada tujuan tugas tersebut; jika tujuannya adalah melatih kemampuan berpikir kritis, maka pengerjaan manual lebih tepat. Sebaliknya, jika tujuan utamanya adalah efisiensi, AI dapat menjadi alat bantu yang bermanfaat. Pengerjaan manual dianggap lebih jujur dan mencerminkan pemahaman sebenarnya, sedangkan penggunaan AI berpotensi membuat hasil kurang mencerminkan usaha pribadi. Meski demikian, jika AI digunakan sebagai alat bantu belajar yang mendukung proses pembelajaran secara bertanggung jawab, maka penggunaannya tetap dapat dianggap adil selama tidak disalahgunakan."
2. Bayangin kamu lagi ngerjain tugas dan ngobrol sama AI kayak ChatGPT. Kira-kira, satu kalimat apa yang paling sering kamu ucapkan ke AI?;Saat mengerjakan tugas dan berdiskusi dengan AI seperti ChatGPT, kalimat yang paling sering saya ucapkan biasanya berkisar pada permintaan bantuan untuk memudahkan pemahaman dan penyusunan tugas. Misalnya, saya sering meminta AI untuk menjelaskan materi dengan bahasa yang lebih sederhana atau membantu membuat kerangka esai terkait topik yang sedang saya kerjakan. Selain itu, saya juga kerap meminta referensi jurnal terbaru untuk memperkuat argumen, serta menanyakan arti suatu istilah dalam konteks tertentu agar lebih jelas. Saat mengalami kebuntuan, saya biasanya meminta ide atau inspirasi untuk memulai menulis. Tidak jarang pula saya meminta AI membantu meringkas artikel atau menyusun struktur esai agar tugas yang saya buat menjadi lebih teratur dan mudah dipahami.
3. Dalam satu kalimat, kapan waktu paling bermanfaat menggunakan AI selama jadi mahasiswa?;Waktu yang paling bermanfaat menggunakan AI selama menjadi mahasiswa adalah saat mengalami kesulitan memahami materi kuliah dan membutuhkan penjelasan tambahan, ketika mengerjakan tugas menjelang tenggat waktu untuk merapikan tulisan, saat menyusun ide awal untuk esai atau makalah, saat belajar mandiri tanpa ada dosen atau teman untuk bertanya, serta ketika merevisi tugas agar lebih rapi dan sesuai dengan struktur akademik.
4. Apa satu risiko utama jika mahasiswa terlalu bergantung pada AI untuk menyelesaikan tugas? Jelaskan singkat!;Risiko utama jika mahasiswa terlalu bergantung pada AI untuk menyelesaikan tugas adalah mereka menjadi malas berpikir dan tidak memahami isi tugasnya dengan baik, sehingga kemampuan berpikir kritis menurun. Ketergantungan yang berlebihan juga dapat membuat proses belajar menjadi pasif dan berisiko menyebabkan plagiarisme tanpa disadari. Akibatnya, mahasiswa tidak mampu menjelaskan hasil tugasnya sendiri karena hanya mengandalkan bantuan AI.
5. AI bisa bikin kamu lulus cepat, tapi kamu nggak ngerti apa-apa. Pilih tetap pakai AI atau nggak? Kenapa? (Jawab maksimal 1–2 kalimat);"Saya memilih untuk tidak hanya mengandalkan AI karena lulus tanpa pemahaman akan merugikan diri sendiri di masa depan; AI sebaiknya digunakan sebagai alat bantu belajar, bukan untuk mengerjakan semua tugas. Lebih baik belajar dengan perlahan tetapi benar-benar paham daripada cepat lulus tanpa menguasai ilmu."
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
