Slang,Formal
plek,persis
sebenrnya,sebenarnya
pake,pakai
dmn,di mana
utk,untuk
dasara,dasar
ccampur,campur
copas,salin ulang
brainstorming,curah pendapat
kalo,kalau
prefer,mengutamakan
krn,karena
skrng,sekarang
hrs,harus
bosa,bosan
membantun,membantu
ga,tidak
aj,saja
clueless,bingung
gapapa,tidak apa apa
copy paste,salin tempel
tools,alat
origin,asli
dri,dari
klo,kalau
mampumelatih,mampu melatih
user,pengguna
yg,yang
bgt,sekali
org,orang
trs,terus
jd,jadi
kyk,seperti
kayaknya,sepertinya
nggak,tidak
tp,tapi
why ,mengapa
not,tidak
thank,terima kasih
you,kamu
i,saya
think,pikir
to,kepada
point,poin
gaada,tidak ada
mentok,buntu
ga,tidak 
deadline,tenggat waktu
lahi,lagi
urgent,mendesak
stuck,terjebak
lg,lagi
faham,paham
smuanya,semuanya
gamau,tidak mau
gabisa,tidak bisa
nggak,tidak
overpower,terlalu mendominasi
what,apa
is,adalah
this,ini
question,pertanyaan
ofc,tentu saja
not,tidak
berdampinandengan,berdampingan dengan
combine,menggabungkan
balance,keseimbangan
trus,terus
usah,berusaha
tidakk, tidak
nggak,tidak
s&k,syarat dan ketentuan
copy,salin
paste,tempel
full,sepenuhnya
tetep,tetap
jwbnya,jawabannya
trs,terus
bener,benar
